Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,84.449997,85.360001,84.320000,85.209999,81.563850,38900
2018-01-03,85.480003,85.830002,85.419998,85.669998,82.004166,18700
2018-01-04,87.419998,87.570000,86.839996,86.839996,83.124100,40500
2018-01-05,87.379997,87.940002,87.379997,87.879997,84.119598,50300
2018-01-08,88.349998,88.459999,88.220001,88.330002,84.550346,24100
2018-01-09,88.830002,88.860001,88.199997,88.500000,84.713066,22600
2018-01-10,88.730003,88.820000,88.239998,88.570000,84.780075,46700
2018-01-11,88.019997,88.860001,87.800003,88.809998,85.009804,75300
2018-01-12,89.779999,90.389999,89.709999,90.250000,86.388184,42900
2018-01-16,90.820000,91.199997,90.480003,90.500000,86.627487,87700
2018-01-17,90.370003,91.080002,89.919998,90.669998,86.790215,33700
2018-01-18,90.949997,91.290001,90.570000,91.000000,87.106094,46000
2018-01-19,92.040001,92.120003,91.480003,91.949997,88.015442,15500
2018-01-22,92.330002,92.949997,92.209999,92.820000,88.848213,34200
2018-01-23,93.160004,93.239998,92.650002,93.160004,89.173668,33400
2018-01-24,94.269997,94.410004,93.250000,93.730003,89.719276,20400
2018-01-25,93.599998,93.599998,92.199997,92.570000,88.608910,31700
2018-01-26,92.610001,93.180000,92.570000,93.180000,89.192810,31100
2018-01-29,92.639999,92.910004,92.209999,92.680000,88.714211,23600
2018-01-30,92.080002,92.190002,91.599998,91.809998,87.881432,25200
2018-01-31,91.989998,92.150002,91.220001,91.660004,87.737854,33700
2018-02-01,89.180000,90.500000,89.180000,89.769997,85.928726,64300
2018-02-02,89.099998,89.220001,88.290001,88.620003,84.827934,62500
2018-02-05,88.000000,88.330002,83.599998,83.709999,80.128036,90900
2018-02-06,85.389999,88.099998,85.160004,87.699997,83.947296,72400
2018-02-07,86.889999,87.480003,86.000000,86.519997,82.817787,38900
2018-02-08,86.980003,86.980003,85.300003,85.300003,81.650002,28600
2018-02-09,86.129997,86.879997,84.360001,86.550003,82.846512,50800
2018-02-12,87.080002,87.870003,86.790001,87.629997,83.880295,29800
2018-02-13,87.339996,87.750000,87.150002,87.610001,83.861153,9600
2018-02-14,87.139999,89.779999,87.089996,89.730003,85.890442,31400
2018-02-15,89.949997,90.199997,89.430000,89.919998,86.072304,44400
2018-02-16,89.910004,90.599998,89.879997,90.290001,86.426476,24700
